Word 1,Word 2,Missing_Words
arafat,jackson,['arafat']
arafat,peace,['arafat']
arafat,terror,['arafat']
arrangement,accommodation,['accommodation']
asylum,madhouse,"['asylum', 'madhouse']"
benchmark,index,['benchmark']
boxing,round,['boxing']
cemetery,woodland,['woodland']
chance,credibility,['credibility']
computer,internet,['internet']
computer,software,['software']
cucumber,potato,['cucumber']
cup,artifact,['artifact']
cup,tableware,['tableware']
death,inmate,['inmate']
decoration,valor,['valor']
delay,racism,['racism']
deployment,departure,['deployment']
deployment,withdrawal,['deployment']
environment,ecology,['ecology']
exhibit,memorabilia,['memorabilia']
gem,jewel,['jewel']
gender,equality,['gender']
hospital,infrastructure,['infrastructure']
impartiality,interest,['impartiality']
investor,earning,['investor']
jerusalem,palestinian,['palestinian']
king,rook,['rook']
lobster,food,['lobster']
lobster,wine,['lobster']
maradona,football,['maradona']
marathon,sprint,"['marathon', 'sprint']"
monk,oracle,['oracle']
movie,popcorn,['popcorn']
opec,country,['opec']
opec,oil,['opec']
planet,astronomer,['astronomer']
planet,constellation,['constellation']
precedent,antecedent,['antecedent']
precedent,cognition,['cognition']
professor,cucumber,['cucumber']
psychology,cognition,['cognition']
reason,hypertension,['hypertension']
seafood,lobster,['lobster']
shore,woodland,['woodland']
shower,thunderstorm,['thunderstorm']
sign,recess,['recess']
tiger,carnivore,['carnivore']
tiger,fauna,['fauna']
tiger,feline,['feline']
tiger,mammal,['mammal']
video,archive,"['video', 'archive']"
vodka,brandy,['vodka']
vodka,gin,['vodka']
water,seepage,['seepage']
